"timestamp","node_ids","platform","parameter"
1729158590,"{A,Q,-,1,1}","ccsp","[Parameter(name='pm25', min=20.0, max=30.0), Parameter(name='pm10', min=20.0, max=50.0)]"
1729158990,"{A,Q,-,1,1}","ccsp","PM25"
1729160667,"{A,Q,-,1,1}","ccsp","[Parameter(name='pm25', min=10.0, max=50.0)]"
1729160731,"{A,Q,-,1,1,"","",A,Q,-,1,1,0,2,0,1,2,0,3}","ccsp","[Parameter(name='pm25', min=10.0, max=50.0)],[Parameter(name='pm25', min=190.0, max=550.0)]"
1729247975,"{N,o,d,e,-,1,1,0,3,2,0,0,4,0,6,9}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248159,"{N,o,d,e,-,1,1,0,3,2,0,0,4,0,6,9}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248442,"{N,o,d,e,-,1,1,0,3,0,4,"","",N,o,d,e,-,1,1,0,3,1,0,0,4,"","",N,o,d,e,-,1,1,0,3,2,0,0,4}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248565,"{N,o,d,e,-,1,1,0,3,0,4,"","",N,o,d,e,-,1,1,0,3,1,0,0,4,"","",N,o,d,e,-,1,1,0,3,2,0,0,4}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248728,"{N,o,d,e,-,1,1,0,3,0,4,"","",N,o,d,e,-,1,1,0,3,1,0,0,4,"","",N,o,d,e,-,1,1,0,3,2,0,0,4}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729249061,"{N,o,d,e,-,1,1,0,3,0,4,"","",N,o,d,e,-,1,1,0,3,1,0,0,4,"","",N,o,d,e,-,1,1,0,3,2,0,0,4}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729249274,"{N,o,d,e,-,1,1,0,3,0,4,"","",N,o,d,e,-,1,1,0,3,1,0,0,4,"","",N,o,d,e,-,1,1,0,3,2,0,0,4}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729252858,"{N,o,d,e,-,1,1,0,3,0,4}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)]"
1729253148,"{N,o,d,e,-,1,1,0,3,0,4}","om2m","[Parameter(name='pm25', min=10.0, max=40.0)]"
