timestamp,node_ids,platform,parameter
1729158590,['AQ-11'],ccsp,"[Parameter(name='pm25', min=20.0, max=30.0), Parameter(name='pm10', min=20.0, max=50.0)]"
1729158990,['AQ-11'],ccsp,PM25
1729160667,['AQ-11'],ccsp,"[Parameter(name='pm25', min=10.0, max=50.0)]"
1729160731,"['AQ-11""""AQ-110201203']",ccsp,"[Parameter(name='pm25', min=10.0, max=50.0)],[Parameter(name='pm25', min=190.0, max=550.0)]"
1729247975,['Node-11032004069'],om2m,"[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248159,['Node-11032004069'],om2m,"[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248442,"['Node-110304""""Node-11031004""""Node-11032004']",om2m,"[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248565,"['Node-110304""""Node-11031004""""Node-11032004']",om2m,"[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729248728,"['Node-110304""""Node-11031004""""Node-11032004']",om2m,"[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729249061,"['Node-110304""""Node-11031004""""Node-11032004']",om2m,"[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729249274,"['Node-110304""""Node-11031004""""Node-11032004']",om2m,"[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)],[Parameter(name='pm25', min=10.0, max=40.0)]"
1729252858,['Node-110304'],om2m,"[Parameter(name='pm25', min=10.0, max=40.0)]"
1729253148,['Node-110304'],om2m,"[Parameter(name='pm25', min=10.0, max=40.0)]"
1729672826,['AQ-110301010101'],ccsp,"[Parameter(name='pm25', min=10.0, max=30.0)]"
1729674461,['AQ-1010101'],om2m,"[Parameter(name='pm25', min=10.0, max=30.0)]"
1729678949,"['AQ-1010101""""node_1021012012']",om2m,"[Parameter(name='pm25', min=10.0, max=30.0)],[Parameter(name='pm25', min=10.0, max=30.0)]"
1729685497,['Node_124157875682'],om2m,"[Parameter(name='pm25', min=10.0, max=30.0)]"
1730187858,['AQ-1101010101'],ccsp,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1730868075,['Node_124157875682'],om2m,"[Parameter(name='pm25', min=10.0, max=20.0)]"
1730868224,"['Node_124157875682""""Node-11032004']",om2m,"[Parameter(name='pm25', min=10.0, max=20.0)],[Parameter(name='pm25', min=10.0, max=20.0)]"
